high_GPA,math_SAT,verb_SAT,univ_GPA
3.45,6.43,5.89,3.52
2.78,5.58,5.12,2.91
2.52,5.83,5.03,2.4
3.67,6.85,6.02,3.47
3.24,5.92,5.38,3.47
2.1,5.62,4.86,2.37
2.82,5.73,5.48,2.4
2.36,5.59,5.36,2.24
2.42,5.52,5.83,3.02
3.51,6.17,5.91,3.32
3.48,6.84,6.49,3.59
2.14,5.68,5.92,2.54
2.59,6.04,5.82,3.19
3.46,6.19,6.24,3.71
3.51,6.42,6.19,3.58
3.68,6.83,6.42,3.4
3.91,7.03,6.84,3.73
3.72,7.12,6.52,3.49
2.15,5.64,5.01,2.25
2.48,5.57,5.49,2.37
3.09,5.91,5.84,3.29
2.71,5.99,5.62,3.19
2.46,6.07,6.19,3.28
3.32,6.19,5.58,3.37
3.61,7,7.21,3.61
3.82,7.18,7.32,3.81
2.64,5.8,5.38,2.4
2.19,5.62,5.07,2.21
3.34,6.83,6.48,3.58
3.48,7.17,7.24,3.51
3.56,7.01,7.14,3.62
3.81,6.91,6.84,3.6
3.92,7.14,7.06,3.65
4,6.89,6.73,3.76
2.52,5.54,5.07,2.27
2.71,5.64,5.43,2.35
3.15,6.68,6.04,3.17
3.22,6.91,6.62,3.47
2.29,5.73,5.91,3
2.03,5.68,5.17,2.74
3.14,6.07,6.24,3.37
3.52,6.51,6.83,3.54
2.91,6.04,5.83,3.28
2.83,5.6,5.42,3.39
2.65,6.04,6.17,3.28
2.41,5.74,5.48,3.19
2.54,5.64,5,2.52
2.66,6.07,5.28,3.08
3.21,6.19,5.73,3.01
3.34,6.47,6.08,3.42
3.68,6.51,6.83,3.6
2.84,5.71,5.43,2.4
2.74,5.83,5.1,2.83
2.71,5.54,5.38,2.38
2.24,5.68,5.19,3.21
2.48,5.74,6.02,2.24
3.14,6.05,6.19,3.4
2.83,5.91,5.84,3.07
3.44,6.42,6.08,3.52
2.89,6.08,5.73,3.47
2.67,5.74,5.38,3.08
3.24,6.43,6.07,3.38
3.29,6.08,6.49,3.41
3.87,7.09,6.88,3.64
3.94,6.91,6.45,3.71
3.42,6.67,5.83,3.01
3.52,6.56,6.09,3.37
2.24,5.54,5.42,2.34
3.29,6.92,5.63,3.29
3.41,6.84,6.72,3.4
3.56,7.17,6.49,3.38
3.61,7.12,7.08,3.28
3.28,6.41,6.08,3.31
3.21,6.75,6.32,3.42
3.48,6.92,6.98,3.39
3.62,6.84,6.09,3.51
2.92,5.64,5.91,3.17
2.81,5.54,5.09,3.2
3.11,6.85,6.94,3.41
3.28,6.71,6.09,3.29
2.7,5.71,5.03,3.17
2.62,5.82,5.91,3.12
3.72,6.21,5.89,3.71
3.42,6.51,6.42,3.5
3.51,6.73,6.81,3.34
3.28,6.51,6.4,3.48
3.42,6.72,6.07,3.44
3.9,5.91,5.87,3.59
3.12,5.82,6.12,3.28
2.83,6.09,5.55,3
2.09,5.54,4.8,3.42
3.17,6.12,5.9,3.41
3.28,6.28,5.8,3.49
3.02,5.67,6.02,3.28
3.42,6.19,6.23,3.17
3.06,6.91,6.83,3.24
2.76,5.64,5.49,2.34
3.19,6.5,6.84,3.28
2.23,5.51,5.54,2.29
2.48,5.68,5.41,2.08
3.76,6.05,5.9,3.64
3.49,6.92,6.83,3.42
3.07,6.8,6.92,3.25
2.19,6.17,5.03,2.76
3.46,5.16,5.28,3.41
